hour,latitude,longitude,weight
16-20,40.7805633545,-73.9551544189,2372.080506704
16-20,40.7627105713,-73.9716339111,2363.185675441
16-20,40.735244751,-73.9908599854,2352.54763669
16-20,40.740737915,-73.9936065674,2350.457896809
16-20,40.736618042,-73.9936065674,2347.866253708
16-20,40.7654571533,-73.9771270752,2347.8509481379997
16-20,40.7682037354,-73.962020874,2345.085797447
16-20,40.7833099365,-73.9785003662,2343.8448823300005
16-20,40.7627105713,-73.9730072021,2331.51415722
16-20,40.7324981689,-73.9881134033,2326.8788218073996
16-20,40.7833099365,-73.9798736572,2318.163147575
16-20,40.7572174072,-73.9702606201,2311.8185706842996
16-20,40.7723236084,-73.959274292,2304.2607331490003
16-20,40.736618042,-73.9977264404,2303.923875687
16-20,40.7572174072,-73.9757537842,2286.243240853
16-20,40.7489776611,-73.9730072021,2279.2390038759
16-20,40.7833099365,-73.9524078369,2276.8037290350003
16-20,40.647354126,-73.7889862061,2270.3726487361
16-20,40.7489776611,-73.9798736572,2267.6716316370002
16-20,40.7778167725,-73.95652771,2263.763921416
16-20,40.7929229736,-73.9730072021,2262.911961003
16-20,40.7434844971,-73.9798736572,2262.3508015629
16-20,40.7654571533,-73.9702606201,2254.252861801
16-20,40.7503509521,-73.9757537842,2254.002740966
16-20,40.7791900635,-73.95652771,2248.236646424
16-20,40.7929229736,-73.9675140381,2247.613249442
16-20,40.739364624,-74.0032196045,2246.6720496197
16-20,40.7599639893,-73.9730072021,2246.1308430909
16-20,40.7627105713,-73.9853668213,2239.093015484
16-20,40.7846832275,-73.9798736572,2235.976549279
16-20,40.7572174072,-73.9688873291,2232.6232263873
16-20,40.7448577881,-73.9867401123,2226.8429999010996
16-20,40.7544708252,-73.9881134033,2223.8175644919997
16-20,40.7668304443,-73.9867401123,2212.077444491
16-20,40.7544708252,-73.9730072021,2211.134474373
16-20,40.7599639893,-73.9949798584,2207.2422964449997
16-20,40.7448577881,-73.9922332764,2205.9854557906
16-20,40.7736968994,-73.962020874,2200.579841848
16-20,40.7297515869,-73.9894866943,2196.8765963853
16-20,40.7256317139,-73.9977264404,2191.754933127
16-20,40.7833099365,-73.9551544189,2191.4519975171997
16-20,40.7462310791,-73.9812469482,2189.1300038535
16-20,40.73387146,-74.0059661865,2188.007989888
16-20,40.7833099365,-73.9743804932,2177.4673933269996
16-20,40.7215118408,-74.0100860596,2174.016573678
16-20,40.7462310791,-73.9826202393,2172.7675414041996
16-20,40.7585906982,-73.9922332764,2165.7442668113
16-20,40.7324981689,-74.0004730225,2164.1153318287998
16-20,40.7599639893,-73.9743804932,2154.4106342035
16-20,40.7572174072,-73.9661407471,2151.6277308742
16-20,40.7640838623,-73.9716339111,2150.148184959
16-20,40.7434844971,-73.9771270752,2149.5839738064997
16-20,40.7736968994,-73.963394165,2149.476464329
16-20,40.6446075439,-73.7766265869,2143.284237065
16-20,40.7709503174,-73.962020874,2132.5372905080003
16-20,40.7242584229,-73.9963531494,2127.2854597807
16-20,40.7888031006,-73.9757537842,2123.6751394310004
16-20,40.7723236084,-73.960647583,2122.628641629
16-20,40.7627105713,-73.9867401123,2116.9081832173
16-20,40.7421112061,-74.0004730225,2111.6612579722
16-20,40.7915496826,-73.9743804932,2109.992852331
16-20,40.7585906982,-73.9881134033,2103.6261752459995
16-20,40.7709503174,-73.959274292,2101.961391364
16-20,40.7434844971,-73.9963531494,2100.5411148788
16-20,40.740737915,-73.9894866943,2094.485203632
16-20,40.7544708252,-73.9785003662,2085.6289006730003
16-20,40.7572174072,-73.9785003662,2073.648424217
16-20,40.7585906982,-73.9688873291,2070.3660887174
16-20,40.7668304443,-73.9785003662,2068.7233956156
16-20,40.7517242432,-73.9702606201,2060.7509606211
16-20,40.7242584229,-73.9977264404,2054.4176513286
16-20,40.7324981689,-73.9812469482,2047.3169688290002
16-20,40.7805633545,-73.9798736572,2044.426566376
16-20,40.6418609619,-73.787612915,2030.8806873342
16-20,40.7530975342,-73.9757537842,2025.8334193829
16-20,40.7462310791,-73.9785003662,2024.1590592474
16-20,40.7462310791,-73.9798736572,2021.4519465326
16-20,40.7448577881,-73.9812469482,2005.8720133564
16-20,40.7695770264,-73.9551544189,2005.304522574
16-20,40.7778167725,-73.963394165,2005.3022870359996
16-20,40.7764434814,-73.9826202393,2005.1627676940002
16-20,40.7517242432,-73.9826202393,2002.8470859571003
16-20,40.7503509521,-73.9812469482,2002.4746743551
16-20,40.740737915,-73.9908599854,2001.2246528780001
16-20,40.7544708252,-73.9743804932,2000.7427560023
16-20,40.7723236084,-73.9496612549,2000.6812910702001
16-20,40.7572174072,-73.9853668213,1996.5558493445997
16-20,40.7585906982,-73.9757537842,1994.8513711824003
16-20,40.7846832275,-73.9537811279,1985.1474413310002
16-20,40.7270050049,-74.0004730225,1981.81633218
16-20,40.7558441162,-73.9894866943,1978.2235732220001
16-20,40.7736968994,-73.957901001,1977.3751804930002
16-20,40.7558441162,-73.9647674561,1974.6567677693001
16-20,40.7709503174,-73.9537811279,1971.570812727
16-20,40.7476043701,-73.9743804932,1964.7390728905002
16-20,40.735244751,-73.9798736572,1960.7960218486
16-20,40.7311248779,-74.0018463135,1957.6560271421
16-20,40.7750701904,-73.95652771,1957.244743586
16-20,40.7750701904,-73.959274292,1955.361055716
16-20,40.740737915,-73.9785003662,1946.8285834476
16-20,40.7695770264,-73.9881134033,1946.498725372
16-20,40.7517242432,-73.9867401123,1946.3969485409998
16-20,40.7640838623,-73.9661407471,1945.4723657801
16-20,40.7544708252,-73.9757537842,1944.5023628061
16-20,40.7448577881,-73.9990997314,1932.8136719708998
16-20,40.737991333,-73.9812469482,1918.3169843722999
16-20,40.7311248779,-73.9908599854,1917.060333969
16-20,40.7695770264,-73.957901001,1915.8200683157002
16-20,40.735244751,-73.9853668213,1911.617008934
16-20,40.7819366455,-73.9716339111,1910.0243673633
16-20,40.7778167725,-73.9551544189,1906.2155890919998
16-20,40.7530975342,-73.9963531494,1903.0791852045
16-20,40.740737915,-73.9812469482,1902.3106396934002
16-20,40.7846832275,-73.9771270752,1901.910604856
16-20,40.7517242432,-74.0045928955,1898.4345970973002
16-20,40.7627105713,-73.959274292,1897.3359936697
16-20,40.7489776611,-73.9908599854,1894.4891390676999
16-20,40.7434844971,-73.9853668213,1890.0162209199998
16-20,40.7654571533,-73.9675140381,1889.3107251961
16-20,40.7805633545,-73.9496612549,1887.9862165431
16-20,40.7297515869,-73.9908599854,1887.9357945145998
16-20,40.7682037354,-73.9839935303,1882.0892092288
16-20,40.7819366455,-73.9537811279,1881.884515249
16-20,40.7489776611,-73.9771270752,1880.4928748853001
16-20,40.7530975342,-73.9812469482,1879.1401460146003
16-20,40.7421112061,-73.9812469482,1877.7233352173
16-20,40.7709503174,-73.9510345459,1874.871575518
16-20,40.7640838623,-73.9537811279,1871.6905814454
16-20,40.7764434814,-73.9757537842,1867.9177839160002
16-20,40.7805633545,-73.9730072021,1866.1133107792002
